itemId,Xmin_true,Ymin_true,Xmax_true,Ymax_true
5,198,827,649,1340
10,26,605,433,847
13,233,698,622,920
30,61,368,329,530
32,30,536,328,813
48,85,1031,164,1113
64,21,416,223,565
78,4,105,816,644
90,103,372,324,542
118,46,1277,143,1408
137,31,717,787,1308
142,107,197,1005,782
161,42,802,334,995
168,21,435,770,1001
190,38,734,904,1308
229,16,407,332,787
260,124,759,422,928
285,34,347,342,570
286,143,181,791,594
441,39,463,674,739
486,153,732,391,954
511,55,827,181,941
572,32,1046,948,1949
576,96,467,520,792
577,62,1031,139,1082
622,24,763,587,1324
667,0,42,921,653
678,38,591,189,713
794,82,937,1000,1855
801,99,683,260,828
813,41,1006,782,1701
843,44,989,84,1014
910,29,689,509,1083
998,283,464,808,909
1024,33,619,226,816
1032,43,464,191,609
1067,125,771,553,1126
1095,35,599,41,605
1125,57,608,436,974
1147,43,653,170,742
1275,67,570,335,767
1412,289,161,1007,1158
1451,106,138,758,527
1467,20,457,78,502
1473,56,931,336,1070
1490,24,447,71,471
1518,256,374,627,928
1571,84,752,183,845
1587,34,697,103,743
1614,309,896,652,1380
1661,23,492,87,529
1690,125,550,367,706
1691,14,302,353,568
1751,27,510,588,883
1811,43,502,62,530
1817,20,538,560,963
1983,74,709,263,846
2001,143,869,307,1001
2014,28,567,506,926
2053,91,877,720,1367
2059,35,1052,412,1451
2247,39,294,618,695
2373,155,554,934,1201
2509,53,738,285,1040
2613,79,825,400,1019
2636,41,780,360,1103
2647,102,1029,270,1257
2665,294,633,968,982
2685,91,895,385,1102
2721,38,830,496,1059
2722,86,293,372,463
2746,15,366,932,1096
2757,233,698,622,920
2765,58,829,413,1149
2776,5,144,666,581
2780,51,568,518,965
2786,74,856,360,1116
2891,29,679,908,1331
2901,253,542,723,1003
2969,55,239,875,900
3009,85,1076,210,1194
3019,276,764,405,1001
3038,92,588,249,730
3118,151,1071,739,1805
3135,73,284,596,623
3143,348,83,1003,778
3146,116,753,663,1183
3185,9,197,966,832
3281,103,319,259,477
3382,129,929,335,1196
3412,60,825,324,1062
3414,87,1003,162,1087
3420,58,668,197,791
3433,262,428,991,1061
3452,314,165,716,758
3589,63,697,222,820
3775,112,578,217,700
3777,0,57,749,519
3811,82,1055,497,1663
3816,63,835,429,1159
3927,17,511,200,714
3973,62,932,93,959
4032,151,787,732,1457
4038,28,510,45,523
4048,237,721,730,1276
4052,231,521,768,832
4094,249,529,577,964
4104,8,195,638,667
4117,56,670,137,735
4145,173,379,484,643
4163,69,737,174,857
4220,156,529,361,703
4236,5,167,712,746
4257,23,641,68,700
4322,23,359,58,390
4408,46,840,86,882
4538,363,838,949,1327
4547,159,219,886,854
4549,98,1051,242,1169
4557,46,928,109,962
4570,29,603,88,657
4582,121,357,1012,881
4584,189,716,677,1255
4608,71,295,642,726
4629,101,548,347,686
4631,43,724,387,921
4752,81,762,133,826
4788,95,814,710,1733
4846,86,718,338,930
4878,83,653,757,1138
4927,92,861,601,1278
4936,10,228,584,656
4972,109,425,705,1236
4992,104,767,253,869
5009,67,221,895,884
5014,10,305,231,571
5067,17,537,725,1445
5169,28,760,183,914
5205,37,739,214,808
5286,39,700,122,756
5312,48,819,87,853
5389,42,444,63,482
5444,-1,21,1002,768
5447,32,707,583,1118
5466,30,475,292,655
5471,36,1061,544,1591
5519,139,1202,355,1555
5602,49,605,847,1040
5604,39,415,687,1018
5611,41,833,660,1141
5647,116,569,787,987
5670,227,281,738,1040
5676,59,921,218,1028
5705,243,1640,524,1870
5709,59,399,680,905
5778,198,815,581,1198
5797,6,326,541,801
5886,148,725,577,1181
5907,84,267,536,563
5920,142,748,319,878
6013,48,924,67,938
6090,47,578,340,809
6132,47,650,213,812
6162,41,775,589,1112
6171,24,258,1029,1226
6219,23,465,176,606
6308,52,447,209,570
6433,60,937,71,953
6441,104,244,587,671
6497,89,1255,384,1532
6606,3,151,717,681
6646,16,521,355,1013
6665,36,843,86,886
6736,96,492,172,619
6933,64,756,1019,1489
7010,15,439,244,696
7090,37,811,400,1058
7243,266,684,825,1006
7266,49,328,410,575
7290,121,711,526,909
7305,86,861,463,1278
7394,50,995,215,1157
7439,212,170,904,713
7458,38,739,218,894
7478,49,574,336,853
7481,34,526,86,587
7485,23,714,158,909
7535,220,428,863,812
7555,50,1030,104,1072
7591,207,227,764,724
7617,38,775,240,917
7673,121,1029,433,1154
7707,49,1002,172,1068
7720,41,795,103,848
7761,25,452,42,474
7815,48,195,630,766
7862,174,282,661,623
7876,246,396,727,762
7994,17,622,677,1500
8127,14,514,669,1154
8180,31,716,934,1380
8271,34,549,494,853
8288,77,452,502,721
8296,24,550,502,964
8316,96,738,337,962
8324,16,490,751,1171
8374,109,735,797,1220
8376,294,655,825,1137
8387,294,791,477,964
8398,51,1021,59,1027
8438,48,905,353,1042
8506,10,576,977,1274
8520,34,673,477,956
8569,332,470,771,861
8585,40,616,883,1073
8636,175,712,549,1137
8713,236,665,811,1176
8723,148,818,563,1036
8747,199,539,1027,1148
8774,205,792,835,1309
8836,114,811,583,1217
8904,82,404,274,514
8924,178,738,486,948
8947,50,640,629,1227
9014,54,913,91,934
9021,103,372,324,542
9027,83,402,845,689
9044,225,278,403,535
9122,72,351,647,907
9155,0,80,865,641
9180,120,772,323,897
9199,109,791,333,995
9209,25,562,167,694
9211,115,194,694,820
9292,46,470,221,544
9323,24,529,153,605
9333,83,1204,321,1656
9395,125,1216,718,1613
9407,63,948,107,992
9427,19,397,311,616
9454,8,231,484,595
9467,35,652,336,881
9481,26,252,579,987
9523,48,854,80,880
9636,101,589,1007,1375
9655,29,792,466,1270
9663,115,576,343,805
9713,29,544,420,894
9743,19,491,714,958
9813,59,980,259,1134
9880,25,338,593,764
9890,117,1006,509,1298
9894,16,338,273,530
9922,26,633,606,1376
10004,34,636,240,783
10006,175,591,673,922
10010,33,615,243,795
10058,69,899,93,926
10167,75,838,602,1133
10201,147,289,321,479
10255,60,1081,78,1099
10273,114,550,247,693
10323,91,797,189,897
10326,49,562,230,704
10358,48,482,587,902
10412,342,703,993,1136
10417,69,634,575,1146
10477,40,719,121,774
10521,44,823,325,1004
10544,27,552,111,594
10598,145,472,468,819
10626,20,482,749,1024
10637,63,332,352,493
10727,16,457,390,850
10732,49,536,477,863
10766,3,179,682,589
10785,149,751,738,1439
10845,32,554,112,604
10867,46,732,206,864
10878,39,484,117,583
10896,158,425,884,958
10916,65,746,199,952
11031,51,820,88,850
11036,41,771,367,978
11109,141,561,732,1162
11131,22,737,479,1391
11174,186,933,452,1159
11184,94,492,322,708
11212,33,484,48,493
11214,97,255,990,778
11258,32,577,41,585
11372,32,424,507,701
11383,8,248,748,1092
11687,108,687,457,1009
11703,25,303,341,520
11796,258,1109,636,1634
11805,15,571,632,1047
11891,102,788,272,1100
11910,98,786,301,943
11921,28,603,286,829
11938,53,610,67,628
11979,274,974,484,1175
12016,34,709,50,719
12215,55,992,147,1030
12233,67,403,309,631
12338,44,769,129,823
12371,30,906,842,1710
12433,64,591,160,658
12466,22,475,206,625
12488,21,321,631,772
12515,86,391,369,633
12543,31,639,86,679
12564,42,734,648,1453
12582,39,728,878,1282
12667,146,451,489,801
12669,34,724,174,860
12677,37,808,578,1207
12695,290,291,624,730
12701,40,856,469,1176
12780,130,931,314,1145
12788,26,559,440,819
12796,276,683,1047,1319
12831,93,1080,321,1225
12908,383,753,765,1116
12975,115,916,414,1235
13007,46,858,124,909
13017,45,745,806,1218
13110,13,353,873,993
13134,48,854,282,1018
13145,98,695,331,794
13194,51,636,128,699
13209,39,766,198,891
13260,56,776,496,941
13293,39,325,790,970
13336,108,253,365,533
13353,12,330,822,762
13386,28,565,490,942
13438,35,1002,446,1546
13502,27,471,923,1100
13504,75,810,666,1073
13526,100,391,674,834
13623,39,610,82,646
13675,98,928,767,1301
13695,51,872,282,1132
13738,235,334,530,730
13778,49,1032,345,1252
13832,13,402,460,648
13844,36,945,831,1573
13855,56,1121,62,1127
13862,75,1037,167,1101
13871,26,600,1014,1297
13899,140,877,256,981
13954,167,390,1043,1066
13967,80,1019,244,1184
13983,40,695,58,708
14020,48,992,181,1094
14045,48,1003,87,1038
14056,70,546,786,1093
14067,210,129,785,575
14100,23,790,866,1580
14182,150,796,1020,1083
14203,54,1107,80,1128
14215,44,928,218,1058
14350,53,484,304,725
14408,38,1050,717,1653
14480,141,455,600,920
14574,42,1050,355,1526
14575,46,843,149,916
14676,156,592,634,908
14681,46,951,202,1077
14685,30,823,68,863
14941,29,302,170,403
15026,218,901,853,1145
15092,18,293,344,596
15096,63,841,81,877
15139,148,634,449,953
15150,20,380,543,729
15247,14,102,893,598
15331,197,682,524,976
15352,259,783,962,1312
15374,41,749,157,883
15421,224,337,616,922
15471,21,257,576,665
15490,25,694,754,1470
15600,20,530,203,705
15635,70,835,553,1214
15657,9,237,690,751
15705,16,210,629,590
15722,37,376,193,433
15763,13,335,845,881
15792,20,497,522,996
15826,294,245,672,612
15840,26,551,645,1006
15842,9,293,507,756
15887,54,618,665,1039
15913,44,697,620,1019
15953,61,795,676,1523
15960,22,475,144,563
15980,169,693,680,1055
16044,123,678,589,1101
16045,60,128,625,660
16066,34,715,344,1023
16073,98,556,505,937
16118,56,798,272,952
16228,11,417,186,626
16236,48,916,344,1112
16237,42,570,475,744
16238,50,688,832,1003
16332,27,651,324,922
16356,127,390,753,866
16456,345,476,927,834
16468,38,799,488,1247
16515,5,180,754,926
16538,56,1036,72,1047
16681,39,570,137,649
16809,128,1077,512,1445
16818,28,512,123,560
16845,83,784,865,1197
16852,65,715,100,744
16891,202,986,345,1120
16944,173,874,581,1151
17007,73,475,370,849
17132,31,912,149,1047
17177,56,714,89,745
17180,35,667,161,735
17190,118,942,277,1063
17191,176,1084,263,1199
17194,0,64,887,724
17208,159,876,439,1132
17216,131,843,406,1006
17222,49,670,299,852
17240,19,432,202,568
17285,93,855,344,1096
17324,49,744,263,932
17366,90,912,232,1038
17403,198,222,775,516
17415,253,727,579,1173
17419,90,729,243,863
17449,32,901,276,1137
17580,25,468,1015,1455
17591,42,570,248,685
17604,33,462,367,689
17622,211,338,435,528
17653,28,591,78,628
17736,16,401,919,972
17775,115,562,841,1081
17852,31,949,242,1213
17919,75,658,395,1095
17925,391,671,842,882
17990,33,741,589,1156
17997,78,857,730,1613
18064,305,459,933,902
18093,32,478,587,1161
18096,162,542,595,1388
18120,69,925,230,1044
18159,108,862,242,1016
18167,53,494,138,593
18168,35,713,656,1082
18232,27,462,236,590
18269,136,498,297,655
18281,89,862,390,1001
18346,21,608,751,1336
18371,101,887,354,1088
18374,35,596,397,783
18453,98,269,477,603
18490,73,509,378,767
18493,50,423,358,781
18546,46,793,89,824
18712,40,574,361,834
18713,150,166,564,752
18729,105,921,282,1065
18750,8,208,790,767
18756,91,718,670,1243
18784,20,485,759,1032
18796,76,461,312,654
18830,28,536,597,949
18864,59,340,737,805
18994,49,228,371,562
19022,49,1028,345,1238
19043,30,613,388,870
19080,37,779,988,1529
19082,33,960,564,1475
19125,19,418,219,568
19179,32,506,148,608
19187,16,319,260,476
19200,145,383,479,685
19229,26,779,414,1350
19237,44,704,531,1220
19239,44,537,988,1033
19261,38,617,123,672
19262,76,704,129,752
19388,63,975,90,991
19394,68,363,279,591
19471,8,267,829,813
19545,274,443,552,742
19558,37,676,1020,1329
19633,27,796,244,1063
19666,389,124,985,636
19745,123,400,311,597
19771,32,729,560,1119
19799,155,1332,305,1489
19834,19,373,617,770
19846,117,437,787,1163
19861,47,987,318,1189
19871,23,475,598,894
19926,60,850,360,1190
19947,149,1000,767,1457
19959,327,703,1044,1242
19962,165,797,801,1160
19963,30,472,396,775
19964,48,1021,177,1129
20028,16,404,525,689
20098,129,749,376,984
20243,210,345,417,545
20259,33,1081,655,1552
20270,112,466,369,746
20275,356,591,754,1204
20303,234,251,745,517
20305,62,653,162,717
20309,68,599,331,846
20311,29,952,587,1663
20372,83,742,605,1083
20379,115,358,576,733
20383,37,388,751,934
20427,130,767,585,1271
20438,18,657,897,1451
20476,21,435,770,1001
20483,105,461,633,844
20486,33,639,468,1008
20558,95,1060,379,1210
20671,54,727,151,807
20710,55,440,657,1237
20735,105,564,384,761
20754,55,281,259,421
20768,115,453,289,667
20834,7,336,681,778
20852,31,714,504,1169
20859,114,483,849,1251
20917,81,362,243,524
20930,45,638,469,989
20968,228,485,834,917
21040,42,796,627,1095
21053,42,505,93,577
21067,32,515,861,915
21080,12,399,808,1073
21098,24,776,596,1208
21223,32,597,314,784
21231,73,686,408,883
21296,39,734,500,998
21299,283,186,768,622
21356,241,240,653,896
21390,29,833,196,1068
21424,40,576,61,584
21486,76,736,129,794
21553,0,65,886,668
21563,24,604,503,772
21578,151,670,838,1142
21605,165,834,616,1211
21655,30,885,458,1424
21656,78,741,334,1025
21659,51,786,625,1250
21732,214,800,761,1186
21781,37,928,613,1405
21793,106,714,624,1087
21822,62,305,867,943
21836,201,363,644,745
21839,57,364,306,550
21997,131,910,356,1144
22052,160,721,891,1183
22125,153,861,470,1172
22164,16,388,112,458
22165,156,330,622,614
22254,49,1328,78,1363
22326,86,424,384,692
22330,47,831,59,842
22331,99,809,233,943
22391,19,482,303,670
22393,9,434,663,923
22408,13,425,761,991
22413,323,843,690,1301
22454,121,818,372,1029
22475,52,656,172,762
22476,434,857,817,1237
22483,37,768,40,770
22537,216,693,736,1213
22538,72,371,499,611
22604,135,926,793,1306
22610,25,476,67,509
22626,58,526,199,722
22723,35,382,430,652
22880,39,731,72,749
22891,59,1069,350,1326
22892,87,655,492,958
22992,89,794,541,1233
22998,28,544,475,893
23024,15,492,379,852
23031,28,279,401,546
23060,56,505,224,653
23092,54,832,142,884
23104,54,1147,124,1183
23115,112,363,412,629
23135,132,478,307,672
23173,132,519,657,713
23181,30,854,324,1148
23259,204,712,729,1137
23261,44,941,360,1177
23267,79,876,270,1070
23294,13,275,640,723
23334,27,645,749,1223
23342,36,510,48,526
23371,25,469,115,533
23372,28,533,49,552
23416,41,756,70,770
23435,69,553,180,669
23464,146,488,999,1163
23489,153,125,748,646
23511,36,1051,941,1860
23546,47,709,352,918
23561,43,794,91,826
23609,43,678,288,777
23680,40,826,99,868
23685,139,500,800,1054
23728,61,598,220,850
23820,67,1228,248,1443
23835,71,917,179,1026
23858,255,1224,553,1587
23861,21,383,161,472
23883,130,369,664,874
23916,53,283,367,806
23961,38,696,1061,1458
23986,250,202,745,644
24053,53,812,662,1198
24077,138,731,857,1439
24142,258,704,924,1249
24164,84,484,456,770
24291,22,353,291,527
24307,60,402,270,707
24380,31,836,955,1681
24381,56,289,446,632
24422,15,328,377,598
24450,30,432,63,467
24527,157,750,758,1138
24544,97,795,619,1123
24558,32,617,80,649
24662,59,1514,80,1544
24752,34,1054,712,1709
24763,42,880,67,899
24950,104,406,393,633
24976,38,490,525,918
25014,67,506,215,630
25065,38,566,674,995
25072,80,401,706,703
25080,224,455,804,869
25094,53,629,298,857
25105,54,473,769,944
25112,98,722,431,1110
25135,45,1243,45,1243
25142,55,1475,57,1478
25162,295,734,745,1184
25324,50,1033,106,1094
25399,157,137,809,732
25401,27,510,536,905
25489,115,581,422,875
25530,175,259,569,673
25583,176,688,542,942
25815,243,569,681,1064
25880,44,847,346,1122
25962,19,390,517,728
25963,83,1042,314,1237
25975,128,801,399,1054
25988,44,859,134,903
26006,90,834,202,964
26046,96,325,285,425
26191,122,267,445,570
26233,164,735,452,968
26263,8,218,584,700
26272,83,377,522,712
26303,10,274,826,811
26374,125,468,653,876
26391,29,529,517,993
26393,141,455,509,842
26395,74,845,453,1080
26428,44,799,267,1026
26489,53,584,102,643
26492,25,723,425,1120
26565,256,956,671,1407
26628,26,608,38,615
26654,71,570,144,637
26659,91,526,507,833
26760,345,433,920,992
26839,132,575,373,805
26853,15,319,838,864
26858,0,120,844,822
26881,38,688,302,862
26888,129,295,753,706
26930,22,479,307,732
26931,16,283,441,564
26967,36,745,594,1163
26973,42,979,721,1557
27005,41,953,423,1309
27107,215,496,565,939
27116,293,523,684,1015
27121,21,305,814,627
27152,83,762,497,1108
27233,109,766,708,1174
27245,119,417,339,675
27312,16,373,256,539
27341,51,979,189,1076
27396,22,789,924,1647
27398,33,374,501,794
27420,5,147,537,650
27546,75,796,190,903
27559,36,788,398,919
27571,118,781,316,1012
27587,62,397,493,973
27601,16,517,693,1453
27603,32,663,309,874
27634,22,477,884,1050
27645,12,399,497,1071
27663,101,748,512,1041
27714,19,435,685,931
27762,193,240,810,815
27795,112,955,413,1299
27956,219,842,729,1237
27958,221,439,508,592
27959,122,423,798,880
27969,96,425,577,699
27993,26,482,603,795
28021,41,485,70,530
28030,57,711,236,819
28096,54,431,184,534
28172,9,215,613,699
28183,1,481,542,1133
28195,37,786,288,959
28353,21,494,297,672
28398,74,754,240,869
28422,98,858,286,1082
28464,22,189,501,439
28469,195,272,873,780
28478,42,879,64,898
28560,165,932,571,1240
28594,32,888,610,1385
28597,86,385,157,466
28677,57,509,397,675
28736,38,743,285,936
28739,35,799,934,1468
28802,96,1020,549,1516
28804,6,220,994,930
28831,33,533,71,565
28915,117,891,279,1043
28917,273,364,597,863
28965,19,336,283,574
28987,129,627,876,1375
28998,212,720,903,1213
29008,242,529,738,860
29012,29,526,37,530
29018,334,271,603,591
29123,61,525,169,622
29141,88,899,162,989
29164,14,305,688,906
29167,35,749,388,997
29174,52,982,205,1082
29178,60,839,481,1252
29182,63,1005,343,1130
29200,105,159,862,782
29236,20,406,592,785
29237,169,814,626,1138
29282,136,464,997,1096
29286,34,593,148,671
29498,11,285,290,491
29550,16,342,534,663
29563,104,965,275,1076
29585,22,766,890,1609
29593,328,678,709,1204
29645,25,523,56,535
29669,209,527,467,963
29780,40,1179,646,1642
29854,123,966,371,1221
29906,69,941,188,1018
29956,98,708,262,823
30034,22,675,709,1133
30089,28,428,310,519
30093,32,980,382,1423
30097,268,210,557,763
30112,70,604,912,933
30121,158,442,342,622
30200,75,912,452,1138
30204,37,1031,233,1243
30215,14,316,325,556
30242,172,954,858,1307
30247,28,642,669,1242
30274,169,766,364,1255
30315,52,547,633,863
30437,35,779,571,1176
30510,33,700,559,1094
30583,178,617,476,921
30615,26,475,75,513
30683,45,1222,123,1300
30699,32,506,508,773
30724,104,284,428,497
30742,273,567,467,755
30796,81,784,585,1164
30934,130,724,527,1014
30965,10,299,606,647
31018,55,565,120,622
31033,47,963,48,963
31045,35,929,663,1404
31086,51,607,106,657
31098,31,719,509,1040
31101,30,774,84,831
31168,82,767,189,887
31182,165,331,509,942
31229,136,466,675,933
31252,29,581,159,663
31292,279,141,722,725
31297,18,390,122,472
31331,39,892,403,1298
31392,32,611,749,1087
31398,20,512,744,1020
31443,15,318,267,510
31515,34,726,113,772
31556,48,673,134,775
31561,47,324,404,666
31634,21,662,668,1219
31641,19,412,949,1032
31700,1,169,658,717
31749,56,1013,63,1019
31863,156,453,705,831
31881,159,478,902,1109
31932,124,337,463,634
32004,34,715,755,1266
32050,54,796,880,1345
32067,51,582,953,1195
32101,92,830,264,991
32106,95,589,543,1127
32119,29,553,301,773
32152,0,33,964,739
32159,101,624,597,1069
32182,82,401,271,582
32264,122,303,439,632
32281,30,486,82,550
32303,17,105,461,785
32310,63,520,183,592
32337,187,683,475,1124
32366,17,367,409,635
32387,39,432,189,509
32415,81,204,463,504
32431,25,444,94,486
32442,52,796,195,918
32477,142,441,361,686
32479,91,216,441,585
32493,136,803,497,1039
32513,58,805,590,1087
32551,60,1478,75,1492
32626,12,311,773,836
32631,42,809,72,833
32641,342,482,772,863
32701,251,544,775,1045
32714,40,753,151,830
32764,70,692,381,936
32798,31,875,240,1128
32866,24,375,258,506
32888,59,420,783,1063
32928,31,846,46,861
32954,44,652,383,900
32988,111,866,584,1540
33024,239,627,708,1309
33046,112,1120,526,1599
33081,186,483,439,670
33084,67,647,428,944
33252,64,1060,405,1414
33259,77,1168,459,1611
33275,178,635,577,1101
33304,181,1279,445,1675
33357,48,897,263,1058
33434,155,361,605,743
33518,62,800,103,839
33551,46,960,183,1062
33598,136,957,663,1313
33651,18,409,642,1088
33665,39,606,63,624
33682,115,539,490,895
33690,163,971,430,1132
33743,72,935,257,1071
33764,90,1042,589,1522
33804,25,523,243,726
33858,55,244,651,751
33872,56,914,74,933
33896,18,677,649,1428
33897,97,817,385,938
33942,48,477,299,606
34114,85,1054,201,1166
34115,55,761,275,900
34151,85,1044,331,1268
34163,49,573,232,683
34170,31,674,495,1040
34212,36,643,1061,1144
34214,35,330,685,959
34245,54,1036,494,1369
34247,65,1309,210,1462
34332,141,734,320,987
34339,80,551,265,952
34362,12,188,581,551
34495,56,615,347,821
34508,30,857,310,1205
34543,101,904,394,1120
34614,33,391,320,603
34667,197,724,775,1254
34774,8,220,909,919
34791,49,890,280,1012
34824,53,937,259,1074
34910,19,317,120,389
34934,24,613,575,1041
34957,74,978,147,1030
34973,9,248,766,735
34990,74,698,235,810
34994,39,949,590,1205
34998,20,519,132,612
35081,49,981,235,1118
35102,247,1066,703,1402
35123,138,1077,241,1213
35131,20,498,943,1161
35187,43,760,341,1102
35189,37,441,867,890
35223,22,483,740,899
35341,11,463,511,1115
35360,5,144,625,625
35388,35,534,151,610
35470,68,572,131,630
35476,52,957,90,982
35492,94,659,295,832
35648,230,962,902,1308
35652,278,220,618,551
35684,108,239,798,659
35699,34,630,307,811
35703,63,499,314,585
35719,28,573,707,1022
35738,77,628,106,646
35799,221,840,875,1389
35851,31,505,179,599
35868,129,634,260,785
35873,17,484,440,990
35962,17,469,391,1037
